state,state_name,year,population_total
AL,ALABAMA,2015,4852347
AK,ALASKA,2015,737498
AZ,ARIZONA,2015,6829676
AR,ARKANSAS,2015,2978048
CA,CALIFORNIA,2015,38918045
CO,COLORADO,2015,5450623
CT,CONNECTICUT,2015,3587122
DE,DELAWARE,2015,941252
FL,FLORIDA,2015,20209042
GA,GEORGIA,2015,10178447
HI,HAWAII,2015,1422052
ID,IDAHO,2015,1651059
IL,ILLINOIS,2015,12858913
IN,INDIANA,2015,6608422
IA,IOWA,2015,3120960
KS,KANSAS,2015,2909011
KY,KENTUCKY,2015,4425976
LA,LOUISIANA,2015,4664628
ME,MAINE,2015,1328262
MD,MARYLAND,2015,5985562
MA,MASSACHUSETTS,2015,6794228
MI,MICHIGAN,2015,9931715
MN,MINNESOTA,2015,5482032
MS,MISSISSIPPI,2015,2988471
MO,MISSOURI,2015,6071732
MT,MONTANA,2015,1030475
NE,NEBRASKA,2015,1891277
NV,NEVADA,2015,2866939
NH,NEW HAMPSHIRE,2015,1336350
NJ,NEW JERSEY,2015,8867949
NM,NEW MEXICO,2015,2089291
NY,NEW YORK,2015,19654666
NC,NORTH CAROLINA,2015,10031646
ND,NORTH DAKOTA,2015,754066
OH,OHIO,2015,11617527
OK,OKLAHOMA,2015,3909500
OR,OREGON,2015,4015792
PA,PENNSYLVANIA,2015,12784826
RI,RHODE ISLAND,2015,1056065
SC,SOUTH CAROLINA,2015,4891938
SD,SOUTH DAKOTA,2015,853988
TN,TENNESSEE,2015,6591170
TX,TEXAS,2015,27470056
UT,UTAH,2015,2981835
VT,VERMONT,2015,625216
VA,VIRGINIA,2015,8361808
WA,WASHINGTON,2015,7163657
WV,WEST VIRGINIA,2015,1842050
WI,WISCONSIN,2015,5760940
WY,WYOMING,2015,585613
AL,ALABAMA,2016,4863525
AK,ALASKA,2016,741456
AZ,ARIZONA,2016,6941072
AR,ARKANSAS,2016,2989918
CA,CALIFORNIA,2016,39167117
CO,COLORADO,2016,5539215
CT,CONNECTICUT,2016,3578141
DE,DELAWARE,2016,948921
FL,FLORIDA,2016,20613477
GA,GEORGIA,2016,10301890
HI,HAWAII,2016,1427559
ID,IDAHO,2016,1682380
IL,ILLINOIS,2016,12820527
IN,INDIANA,2016,6634304
IA,IOWA,2016,3131371
KS,KANSAS,2016,2910844
KY,KENTUCKY,2016,4438182
LA,LOUISIANA,2016,4678135
ME,MAINE,2016,1331317
MD,MARYLAND,2016,6003323
MA,MASSACHUSETTS,2016,6823608
MI,MICHIGAN,2016,9950571
MN,MINNESOTA,2016,5522744
MS,MISSISSIPPI,2016,2987938
MO,MISSOURI,2016,6087135
MT,MONTANA,2016,1040859
NE,NEBRASKA,2016,1905616
NV,NEVADA,2016,2917563
NH,NEW HAMPSHIRE,2016,1342307
NJ,NEW JERSEY,2016,8870827
NM,NEW MEXICO,2016,2091630
NY,NEW YORK,2016,19633428
NC,NORTH CAROLINA,2016,10154788
ND,NORTH DAKOTA,2016,754434
OH,OHIO,2016,11634370
OK,OKLAHOMA,2016,3926331
OR,OREGON,2016,4089976
PA,PENNSYLVANIA,2016,12782275
RI,RHODE ISLAND,2016,1056770
SC,SOUTH CAROLINA,2016,4957968
SD,SOUTH DAKOTA,2016,862996
TN,TENNESSEE,2016,6646010
TX,TEXAS,2016,27914410
UT,UTAH,2016,3041868
VT,VERMONT,2016,623657
VA,VIRGINIA,2016,8410106
WA,WASHINGTON,2016,7294771
